2,124,4.1
1,123,4.3
4,126,9.0
5,134,9.2
9,146,13.3
3,125,15.6
7,136,16.2
6,135,17.0
10,156,20.2
8,145,21.3
15,246,22.1
11,234,23.0
20,456,31.2
13,236,35.9
16,256,37.0
18,346,38.2
19,356,38.9
17,345,45.6
14,245,46.5
12,235,49.4
