12,20220216,住之江,"['15:16', '15:42', '16:10', '16:37', '17:06', '17:31', '17:57', '18:21', '18:49', '19:18', '19:58', '20:39']"
17,20220216,宮島,"['10:13', '10:38', '11:16', '11:43', '12:12', '12:41', '13:11', '13:40', '14:11', '14:41', '15:07', '15:38']"
18,20220216,徳山,"['08:47', '09:16', '09:45', '10:17', '10:49', '11:21', '11:52', '12:24', '12:56', '13:30', '14:07', '14:49']"
19,20220216,下関,"['14:26', '14:58', '15:30', '16:07', '16:50', '17:22', '17:54', '18:27', '19:00', '19:35', '20:11', '20:45']"
21,20220216,芦屋,"['08:53', '09:21', '09:49', '10:16', '10:46', '11:17', '11:48', '12:19', '12:51', '13:26', '14:02', '14:42']"
24,20220216,大村,"['15:15', '15:39', '16:03', '16:28', '16:53', '17:18', '17:47', '18:15', '18:43', '19:12', '19:48', '20:30']"
